text,label
"I caught this at a test screening. All I can say is: What...the...hell? This movie plays out about as smoothly as Mickey Mouse reading the script for ""Scarface."" It's bizarre beyond making the slightest bit of sense; and even if you do leave your brain in the car, the film is still so bizarre that it isn't even funny.<br /><br />The plot involves crocodile hunter Steve Irwin trying to ""save"" a crocodile which contains a CIA probe. The CIA comes after Irwin to get their probe back, Irwin mistakes them for poachers, and sets out to ""stop"" them.<br /><br />That's about all the story there is; the rest is over-the-top lampooning of Australian culture (""Didja see dat?"" and ""Crikey!"") and strangely choreographed action sequences. At one point, Irwin mounts a speeding RV and knife fights with a CIA agent on top of it. Yes, that's right: Steve Irwin knife fights a guy on top of an RV. Let that be your guide for this ridiculously bad film.",0
"I think that people are under estimating this incredible film. People are seeing it as a typical horror movie that is set out to scare us and prevent us from getting some sleep. Which if it was trying to do then it would deservedly get a 1/10 but i viewed this film with a few friends and we found it very entertaining and though it was a good movie after all it does have Stephanie beaton. This is the reason why i think that it deserves the 10/10 for the pure entertainment of the film.<br /><br />The general view on this movie is that it has bad acting, a simple script that a 10 year old could produce and that it cant be taken seriously and people are rating it low because of this. But i see this as a thoroughly entertaining masterpiece...that has a hilariously funny script which is made even more entertaining by the actors and although not very serious it is very entertaining.",1
"okay, but just plain dumb. Not bad for a horror/comedy film. I was reading how people switched it with the Michael version and that is a good trick in my opinion because some grown ups hate horrors and when they see this one it will get them interested in horror films like this one or maybe (never seen it) the horror (possibly comedy) uncle Sam, i'll have to see about renting or buying that film but the 2nd is way better then this one but i bought this one on VHS of Amazon and got it November 21, the day before thanksgiving. worth the four bucks, l.o.l. at this film.<br /><br />9/10",1
"In today's world of digital fabrication, there is no computer than can replace the actor and writer. Alas, this type of ""character driven"" film is far too rare these days. Duvall's performance as well as James Earl Jones are faithful to their audience's high expectations. I wonder if this movie was made for TV? It has a ""close-up"" personal quality to the narrative. It is an understatement to say that the performances are all Outstanding. The only thing that keeps it from being a cinema Masterpiece is the lack of a great Cinematographer, but pretty pictures are not everything. How can talent the likes of Jones and Duvall continue to produce such fine work in an age where actors pose for the digitizing?",1
"I own this movie. Not by choice, I do. I was really bored the other day and the box intrigued me. So i popped it in the old VCR and spent the next hour and a half of my life crying ""why God why?"". The story-line was not that bad, as an gamer I could appreciate bits of it. I think that maybe if you're into super geeky-cheese romantic scenes you'll enjoy this film. ""I always thought of myself as a Vulcan you know like Dr.Spock...unable to love"" There is very few good things to say about this film, truly it is awful. But if you're up to really badly made film this is the one for you!!! The real story's much more interesting though ;)<br /><br />If I had to sum up this film in one word it would be:<br /><br />LAME",0
"I went into this movie after having read it was a drama about a man with a supernatural gift, who was made into a monster by society. Suffice to say I was expecting something entirely different from what I got. But it was a happy surprise. My friend and I both thought the movie was very romantic (the fact that the male lead isn't bad to look at surely helped), and there was enough plot development, action and even humor (the fact that it takes them until the 3rd part of the movie to now each other's name had the whole movietheatre laughing) to keep you entertained and invested in the story. So in short: Not what I expected, but a very good surprise indeed. I'll definitely buy this movie when it comes out on DVD.",1
"I couldn't give this film a bad rating or bad review for two reasons: Robin Williams and Toni Collete. The film has the potential of being a thriller and there are some slight disturbing elements that lean to the psychological which was something the film could have focused a little on. Robin Williams plays Gabriel Noon, a storytelling night time deejay who is going through personal issues: his lover moves out and Gabriel is having what seems to be a case of storyteller's block. One day he receives and reads a story written by a dying 14-year old boy named Pete Boland (Rory Culkin). Pete tells the story of his life and the abuse he suffered at the hands of his parents. He lives with his adopted mother and social worker, Donna Boland (Toni Collette). Gabriel is fascinated and begins a friendship with Pete, but things seem strange when Gabriel attempts to meet him and discovers the possibility that Pete Boland may not even exist. I won't go into detail because I don't want to spoil the film, but I will tell you this: it is quite predictable. Fascinating atmosphere for telling a story and good performances from Robin Williams and Toni Collette, who I thought was the film's key character. Collette is without question one of the most talented and loveliest actresses. Her ability to tap into the psyche and personality of the characters she portrays is very uncanny and I hope to see her win an Oscar (hell, I think she might pull off getting a Best Supporting Actress nod for this one if the script were a little better). The film starts off as a psychological thriller, but a predictable one at that. If your curious to know the film's ending and twists, then see the film otherwise I would rent another predictable thriller called ""Hide and Seek"".",0
"Thomas Clay has been mixing with the wrong types. That's the trouble with young people these days, they have no respect.<br /><br />Seriously this film should be avoided at all costs. The action in the main body of the film is slow and rather stodgy and ambles to the drug crazed ending as if, like it's director, it has no where better to go. We are introduced to the main title character who is a bit of an outsider, we see him at school and at home not quite fitting in, feeling awkward in himself as so many adolescents do. Robert falls in with bad lads and starts missing school and taking drugs and before you know it he is a psycho rapist.<br /><br />The film is really about Clay's total failure to understand the links between violence imagery and violent acts. Clay seems to think a generation of crazed youth are made evil by scenes of war on our TVs. yet he has filmed the most disgusting piece of SIMULATED violence. Is this guy for real?<br /><br />If Clay has not seen YouTube perhaps he is naive and unaware of will be done with the brutal climax scene from his film? All anyone will want to see is the most hideous scene from the end of the film and I am sure that will be what sticks with people. <br /><br />The rest of the film is pointless for in committing such an act of violence to film Clay not only damns young people who are actively engaged in preventing war, he also damns himself as perpetrator of extreme, tasteless violence for no better reason than his own personal celebrity status.<br /><br />Shame on all involved.",0
"Easily 9 out of 10 for a film by director we will continue to grow to admire. But don't watch this movie expecting to be ""entertained."" Ang Lee takes an objective look at a relatively unexplored aspect of the Civil War. What is beautiful about the movie, like all of Lee's films, is that he doesn't ""side"" with his characters. He creates characters, embodies them with life, problems, and ambiguity ... and endows them with a reality that often hits far closer to home than with which many are comfortable. This film has action, but it is not for the action lover since the violence is deeply disturbing and far from gratuitous ... i.e. like the characters, it is real. And as you would expect about one of mankind's most horrific wars, the violence is horrific.<br /><br />But as an exploration of the greater human ambiguity that surely dwelt within the Civil War, it is a masterpiece. Was the war about slavery and an abolitionism? Lee seems quite willing to blur that line made so popular in depictions like the Blue and the Grey. Neither is about idealism, though, as seen in Gone with the Wind. It is about freedom, about the desire to have something which is yours and to fight for it. As you watch the characters, you will ask yourself ""how can they be fighting to preserve slavery?"" The fact is, I don't think they really are, and in that the film shows the problem of why so many were caught up in the maelstrom of the Civil War.<br /><br />The fact seems clear that many of the characters we learn about are fighting out of senses of loyalty to ""home"" though they may never have examined what home represents or whether they truly espouse its values. The letter scenes are very moving and yet subtle. Jake and Daniel are other examples of loyalty stretched to the limits. And when the tension finally snaps, and these characters find themselves suddenly ""free"" ... we see the birth of new men.<br /><br />All this mixed in with Lee's beautiful incorporation of humankind's environment with breathtaking vistas and frames. Lee has a style which is his, somehow European in its ""art"" (a slow camera, unrushed), Asian in its epic-ness and development of story, and yet somehow familiar and easily accessible to so many in North Americans.<br /><br />Relax, let go of your preconceptions about what the Civil War is, what the ""western"" as a genre is, what a war movie should be ... and let Ang Lee take you into a world so fragile, so hard, so real that few of us can comfortably see it.<br /><br />In this, Lee continues what he wrought in Ice Storm. Again, the movie is slow paced and without apparent ""direction"" ... a sure sign of Lee's ability to direct without ""imposing"" himself on the story or screen. His direction is amplified by what he brings out of Jewel (yes, the singer), a hitherto unproven actress who puts in an amazing performance.<br /><br />A movie for those who love film and are not lovers of the standard Hollywood epic.",1
"This movie took me by complete surprise. I watched it 2 or 3 times. I really liked this film. There were many truths this movie brought up. I love all the characters in this film as well. This movie makes a lot of sense because as society ""becomes more advance"" What does the culture loose? Not to sound preachy. I can really relate to this movie from my child hood and loosing apart of my life that will never come back or ever been the same. This film is on my top 5 movies I have ever watched. There is just such a raw truth that I feel when I watch the movie and its not the kind of truth that you have to dig for its right in front of your face. The creators of this film did a great job and I enjoyed this movie very much. This movie may not be for every one but if you have an open mind I think you will love it.",1
"After looking at monkeys (oops apes) for more than one hour, I was feeling like one too. I was an ape, spending money on this movie. Please people, hold you money in your pocket and go see some funny movie like Bridget Jones's Diary..",0
"This movie sounded like it might be entertaining and interesting from its description. But to me it was a bit of a let down. Very slow and hard to follow and see what was happening. It was as if the filmmaker took individual pieces of film and threw them in the air and had them spliced together whichever way they landed (definitely not in sequential order). Also, nothing of any consequence was being filmed. I have viewed quite a few different Korean films and have noticed that a good portion are well made and require some thinking on the viewer's part, which is different from the typical Hollywood film. But this one befuddled me to no end. I viewed the film a second and third time and it still didn't do anything for me. I still don't really understand what the filmmaker was trying to convey. If it was to just show a typical mundane portion of a person's life, I guess he succeeded. But I was looking for more. Needless to say, I can't recommend this movie to anyone.",0
"2002's undeservedly popular ""I Love the 80's"" is an inane, idiotic, offensive and downright disgusting pop-culture mess of a show that was the first in a long-line of horrid television programming that ultimately spelled out the end of VH1, which was at one time the only real music-oriented channel left on TV! I used to practically live on VH1 up until the spring or winter, I forget which one now, of 2002 when garbage like this started to appear for absolutely no reason whatsoever. Out of sheer morbid curiosity (I'd guess that's what you'd call it) I had decided that I would go ahead and give it a look-see anyhow the first night it came on even though the advertisements looked like complete crap. At least I can honestly say that I wasn't a bit disappointed by it because my expectations were obviously bottom basement-level to begin with. The emphasis of this show I found out within the first 5 minutes was less on each year of the 1980's and what was and wasn't culturally significant or popular (which is what I was expecting to see), but instead more of an impromptu platform for a whole slew of really god-awful no-name comedians to display what they more than likely think is their comedic skills *rolls eyes*...more like lack-thereof if you ask me! It's pretty easy now to see why no one had ever heard of any of these idiots before they appeared on this show because they are all so terribly unfunny and pathetic in their attempts at so-called ""humor"" that I swear I could feel my intestines knot up with each and every rancid one-liner they shot off one after another! Altogether, I have no problem in saying that ""I Love the 80's"" was/is trash of the lowest denominator, and one of the main reasons why I almost never watch VH1 anymore.",0
"I do not fail to recognize Haneke's above-average film-making skills. For example, I appreciate his lingering on unremarkable-natural-day-lighted settings as a powerful way to force a strong sense of realism. However, regarding the content of this film, I am very sad to see that in the 21st century there is still an urge to pathologize domination-submission relations or feelings (and/or BDSM practices). The problem that the main character has with her mother is unbelievably topical as is the alienation and uncomprehension felt by Walter (I don't mean the frustration of a lover which is not loved back in the same way, which is understandable; I mean that he looks upon her as if she were crazy, or as if he was a monk, come on!). I mean D/s is not something new in the world and I think it is rather silly to treat the subject as if it were something ""freakish"" or pathological; it isn't. In general, films dealing with this subject are really lagging behind the times.<br /><br />So, for me, I feel that this film ends up being quite a programmatical film, worried with very outdated psicoanalitical theories (isn't it nearly embarrassing?), and that does not really relate with real-life lives and experiences of those engaged in D/s relationships (personal experience, forums, irc chatrooms even recent scholar studies will show this).",0
"Men of Honor has many great aspects to it. Good action sequences, plenty of ""feel good"" scenes, a good musical score, but the part that really makes the movie is the great acting. Mostly by Robert Deniro. The story of Men of Honor is focused about Carl Brashear played by Cuba Gooding Jr. who wants to be the first African American deep sea diver in the navy. It chronicles his rough struggle from being a poor farmer to getting into diving school and even further. It is a good story, but it seems like it has been done many times before. A person, against all of the odds, won't give up until they accomplish their goals that they set for some sentimental reason many years ago. It could happen, but a lot of the struggles the Brashear faces in the movie are questionable including the C.O. of the diving school tampering with his final test. However, all of that is made up for the scene when Robert Deniro finally enters the movie. Deniro plays Mater Chief Sunday who is the teacher at the diving school Brashear is attending. As soon as Deniro come in he omits this vibe of extreme arrogance that you can't hate unless you have incredible wilpower. Before the movie ends, Deniro gives off multiple speeches that would have you laughing at how cool he is but you are too stunned at the way he punches them out. In the end you must doubt some of the aspects of the film, but admit it, if it was all the truth, it would have you snoozing it your seat by the first twenty minutes.",1
"I discovered this film after reading the book that inspired it. It is not a strictly biographical film; it is ""loosely based"" on the facts. But I found it a compelling and eerie exploration of evil and madness, and Michel Serrault gives an unforgettable performance as Dr. Petiot.<br /><br />There are many memorable images in this movie; Petiot traveling through the night like a vampire, his black cloak flapping behind him, is almost iconic. There are also several touches of expressionism - Petiot's crooked silhouette mounting the stairs leading from the cellar where the butchered remains of his victims await cremation, reminds me of some scenes from 'Nosferatu'.<br /><br />But I found the primary appeal of this movie to be aural. The soundtrack is loaded with ominous sounds, starting with the foreboding music of the opening credits, accompanied by wordless wailing. Petiot lives and runs his medical practice in a complex with many small shops, and there is a persistent background noise of knives being sharpened somewhere, as well as a peddler playing eerie tunes on a saw. There are animal noises as well - the concierge keeps a goat, unseen cats howl - and later in the film we see hapless cattle being herded through an underpass. The whole atmosphere is unsettling, with overtones of violence and slaughter.<br /><br />Not only animals, but human voices are often heard - the screams of Gestapo victims, Petiot's patients in his waiting room, monitored by a listening device, just the same as the suspected collaborators after the war are monitored in their cells. Even the action of the film is often arranged so that we hear the voices of the participants without seeing them - when Petiot goes to see Mme Kern, we hear her singing as she works, her voice echoing in the theater, before we ever see her. And even when she does appear, she is often filmed from behind, her voice calling out to her husband, whose voice calls out to her in conversation. Disembodied voices echo in large halls, and their owners, when seen at all, are photographed at a distance, so we cannot actually see them speaking. This is a ghost story, and these are the voices of ghosts - many of them Petiot's future victims.<br /><br />Yet Petiot himself is often only a voice; his frightening laughter echoes as he retreats from the camera, throwing comments behind him or into the air to nobody. In a way, he is as much a ghost as those he murders. He is always frantically busy, scurrying from appointment to appointment, never at rest. But his activity is that of a machine - lifeless and imperturbable. It is interesting that among all the horror and danger of occupied Paris, Petiot alone is unafraid; he is amused, enthusiastic, angry, irritated, contemptuous, but never afraid, unlike those real people he lures to their deaths. It is no surprise that he boasts of his mechanical inventions, including a perpetual motion machine (a true detail from the book - he did claim to have invented many machines); he is a sort of perpetual motion machine himself. And mechanical imagery is everywhere in the film, from the opening giant wheel in the movie house, to Petiot's bicycle (with its squeaking wheels echoing the sound of sharpening knives), to the Victrola he keeps winding up to play music before he makes a kill. Even his routine with his victims is mechanical - write a note to your wife, let me disguise you before you leave, you need a vaccination, Barcelona, Casablanca, Dakar - like a well-oiled machine, the routine is always the same, just as the record is always the same.<br /><br />Maeder, the author, says that it was the clockwork perfection of his crimes that weighed so heavily against Petiot at his trial. His system was as smooth and efficient as a Nazi concentration camp, and this may be why the movie invents a subplot of Petiot's involvement with the French Gestapo and the occupying Nazis. Unfortunately, it doesn't quite work as part of the story, because it's very hard to figure out just what Petiot is doing for the collaborators, or what is going on when he ends up at their headquarters in the middle of the night. Disposing of bodies? Hiding stolen goods? It's hard to say, and harder to believe; it's not likely the state would turn to a freelancer like Petiot.<br /><br />But it does remind us of the duality of evil people; Petiot is a robber and a murderer, but he is also a devoted father and husband. Just as we learned that Hitler loved dogs, and that Nazis guilty of the worst war crimes could also be loving fathers and family men, so we have to recognize that Petiot could commit unspeakable horrors and yet also function normally. His insanity is easily camouflaged by the insanity and horror of the wartime situation in Paris; when killing, robbing and disappearing are happening all around, nobody pays attention as Petiot tosses more corpses on the pile.",1
"A remake of the superb 1972 movie of the stage play, nicely casting Caine as the nemesis of his character from the first movie. But doing nothing else nicely at all.<br /><br />A under-parr performance from the actors, Law and Caine, diluted further by weak self-indulgent direction.<br /><br />The warmth of the setting in the original is forsaken for a super-modern homesetting. The subtle interplay between Oliver and Caine which made the first movie so watchable, is replaced with a horrid, brash arrogance that instantly breeds disdain in the viewer. But this is not the clever, to-ing and froing of liking one then the other character the original fostered so well, this is an obvious OTT character assassination of both character from the word go.<br /><br />This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.",0
"Horrible waste of time - bad acting, plot, directing. This is the most boring movie EVER! There are bad movies that are fun (Freddy vs. Jason), and there are bad movies that are HORRIBLE. This one fits into the latter. Bottom Line - don't waste your time.",0
"When I started watching this movie I saw the dude from Buffy, Xander, and figured ah how nice that he's still making a living acting in movies. Now a weird movie I can stand, given that it's a good dose of weird like for example David Lynch movies, twin peaks, lost highway etc. And you sort of have to be in the mood for one. This one however made me mockingly remember the crazy websites about there about conspiracy theory's that make absolutely no sense. I mean come on people Nazi's who conspire with America to make an unholy trinity of evil powers? I was surprised they didn't mention the hollow earth in this movie with Hitler flying saucers and lizard people. Maybe if you had like 60 grams of heroine with this movie it would make some sort of sense, but seriously I don't condone drugs like I don't condone this movie. It should be burned, shredded and forgotten just so good ol' Xander might get another acting job. It wasn't his acting though, that was alright, but the script just didn't make any sense. Sorry.",0
